set,index,points,current,huffman9,default6,default1,all27,padding,best,payloadBytes,mode,escapes,noCRC_UNSAFE,noHeader_NEW_VERSION,noFrame_UNSAFE,byteWinner,deltaSemanticBytes
prefix10,59,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,60,756,1751,1751,1751,1751,1751,1751,current,1423,0,0,1749,1752,1749,1751,2297
prefix1,60,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,60,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,60,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,60,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,60,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,61,33,88,88,88,88,88,88,current,69,0,0,86,87,84,88,103
prefix1,61,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,61,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,61,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,61,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,61,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,62,36,81,81,81,81,81,81,current,63,0,0,78,79,77,81,112
prefix1,62,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,62,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,62,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,62,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,62,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,63,35,78,78,78,78,78,78,current,60,0,1,76,76,73,78,109
prefix1,63,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,63,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,63,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,63,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,63,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,64,26,77,77,77,77,77,77,current,60,0,0,75,75,73,77,82
prefix1,64,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,64,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,64,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,64,5,23,23,23,23,23,23,current,16,0,0,21,22,19,23,19
prefix10,64,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,34
full,65,20,49,49,49,49,49,49,current,37,0,0,46,48,45,49,64
prefix1,65,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,65,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,65,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,65,5,22,22,22,22,22,22,current,15,0,0,19,21,18,22,19
prefix10,65,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,66,29,70,70,70,70,70,70,current,54,0,0,67,69,66,70,91
prefix1,66,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,66,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,66,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,66,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,66,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,67,21,65,65,65,65,65,65,current,50,0,0,62,63,61,65,68
prefix1,67,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,67,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,67,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,67,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,20
prefix10,67,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,35
full,68,8,40,40,40,40,40,40,current,30,0,0,38,39,37,40,30
prefix1,68,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,68,2,20,20,20,20,20,20,current,14,1,0,18,19,17,20,10
prefix3,68,3,24,24,24,24,24,24,current,17,0,0,22,23,21,24,14
prefix5,68,5,31,31,31,31,31,31,current,22,0,0,28,29,27,31,21
full,69,6,29,29,29,29,29,29,current,21,0,0,27,28,25,29,23
prefix1,69,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,69,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,69,3,23,23,23,23,23,23,current,16,0,0,21,21,19,23,14
prefix5,69,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
full,70,29,92,92,92,92,92,92,current,72,0,0,89,90,88,92,91
prefix1,70,1,15,15,15,15,15,15,current,9,0,0,12,13,10,15,7
prefix2,70,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,70,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,70,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,70,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,71,45,145,145,145,145,145,145,current,115,0,0,142,143,141,145,146
prefix1,71,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,71,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,10
prefix3,71,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,71,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,19
prefix10,71,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,34
full,72,28,69,69,69,69,69,69,current,53,0,0,66,67,65,69,88
prefix1,72,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,72,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,72,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,72,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,72,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,73,27,104,104,104,104,104,104,current,82,0,0,102,103,101,104,99
prefix1,73,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,73,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,73,3,24,24,24,24,24,24,current,17,0,0,22,23,21,24,15
prefix5,73,5,30,30,30,30,30,30,current,22,0,0,28,29,27,30,22
prefix10,73,10,48,48,48,48,48,48,current,36,0,0,45,47,44,48,41
full,74,22,67,67,67,67,67,67,current,52,0,0,65,66,64,67,70
prefix1,74,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,74,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,74,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,74,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,74,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,75,33,82,82,82,82,82,82,current,64,0,0,80,81,78,82,103
prefix1,75,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,75,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,75,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,75,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,75,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,76,9,34,34,34,34,34,34,current,25,0,0,32,33,30,34,32
prefix1,76,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,76,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,11
prefix3,76,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,76,5,25,25,25,25,25,25,current,18,0,0,23,24,21,25,20
full,77,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix1,77,1,14,14,14,14,14,14,current,9,0,0,12,13,10,14,7
prefix2,77,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,77,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
full,78,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix1,78,1,14,14,14,14,14,14,current,9,0,0,12,13,10,14,7
prefix2,78,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,78,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,78,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
full,79,29,91,91,91,91,91,91,current,71,0,0,88,89,86,91,91
prefix1,79,1,14,14,14,14,14,14,current,9,0,0,12,13,10,14,7
prefix2,79,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,79,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,79,5,25,25,25,25,25,25,current,18,0,0,23,24,21,25,19
prefix10,79,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,34
full,80,4,24,24,24,24,24,24,current,17,0,0,22,23,21,24,16
prefix1,80,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,80,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,80,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
full,81,31,92,92,92,92,92,92,current,72,0,0,89,91,89,92,98
prefix1,81,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,81,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,81,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,81,5,28,28,28,28,28,28,current,20,0,0,26,26,24,28,20
prefix10,81,10,40,40,40,40,40,40,current,30,0,0,38,40,37,40,35
full,82,31,100,100,100,100,100,100,current,79,0,0,98,99,97,100,97
prefix1,82,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,82,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,82,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,82,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,19
prefix10,82,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,34
full,83,21,59,59,59,59,59,59,current,45,0,0,56,57,55,59,67
prefix1,83,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,83,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,83,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,83,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,83,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,84,36,82,82,82,82,82,82,current,64,0,0,80,81,78,82,112
prefix1,84,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,84,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,84,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,84,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,84,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,85,5,28,28,28,28,28,28,current,20,0,0,26,26,24,28,19
prefix1,85,1,15,15,15,15,15,15,current,9,0,0,12,13,10,15,7
prefix2,85,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,85,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,85,5,28,28,28,28,28,28,current,20,0,0,26,26,24,28,19
full,86,23,61,61,61,61,61,61,current,47,0,0,58,60,58,61,73
prefix1,86,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,86,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,86,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,86,5,25,25,25,25,25,25,current,18,0,0,23,24,22,25,19
prefix10,86,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,87,169,414,414,414,414,414,414,current,334,0,0,411,413,410,414,513
prefix1,87,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,87,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,87,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,87,5,25,25,25,25,25,25,current,18,0,0,23,24,22,25,20
prefix10,87,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,35
full,88,28,61,61,61,61,61,61,current,47,0,0,59,60,58,61,88
prefix1,88,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,88,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,88,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,88,5,23,23,23,23,23,23,current,16,0,0,21,22,19,23,19
prefix10,88,10,30,30,30,30,30,30,current,22,0,0,28,29,27,30,34
full,89,30,92,92,92,92,92,92,current,72,0,0,89,91,88,92,102
prefix1,89,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,89,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,89,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,89,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,89,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,36
full,90,69,151,151,151,151,151,151,current,120,0,0,148,149,146,151,212
prefix1,90,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,90,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,90,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,90,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,20
prefix10,90,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,35
full,91,30,81,81,81,81,81,81,current,63,0,0,78,79,77,81,95
prefix1,91,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,91,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,91,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,91,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,91,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,35
full,92,71,162,162,162,162,162,162,current,129,0,0,159,160,158,162,218
prefix1,92,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,92,2,21,21,21,21,21,21,current,14,0,0,18,19,16,21,11
prefix3,92,3,23,23,23,23,23,23,current,16,0,0,21,21,19,23,14
prefix5,92,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,92,10,37,37,37,37,37,37,current,27,0,0,34,35,32,37,35
full,93,33,77,77,77,77,77,77,current,60,0,0,75,76,73,77,103
prefix1,93,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,93,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,93,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,93,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,93,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,94,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix1,94,1,15,15,15,15,15,15,current,9,0,0,12,13,10,15,7
prefix2,94,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,94,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,94,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
full,95,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix1,95,1,15,15,15,15,15,15,current,9,0,0,12,13,10,15,7
prefix2,95,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,95,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,95,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
full,96,17,60,60,60,60,60,60,current,46,0,0,58,59,56,60,55
prefix1,96,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,96,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,96,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,96,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,96,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,34
full,97,5,32,32,32,32,32,32,current,23,0,0,29,30,28,32,22
prefix1,97,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,97,2,22,22,22,22,22,22,current,15,0,0,19,21,18,22,12
prefix3,97,3,26,26,26,26,26,26,current,18,0,0,23,24,22,26,16
prefix5,97,5,32,32,32,32,32,32,current,23,0,0,29,30,28,32,22
full,98,140,311,311,311,311,311,311,current,249,0,1,308,308,306,311,426
prefix1,98,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,98,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,98,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,98,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,20
prefix10,98,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,35
full,99,262,579,579,579,579,579,579,current,467,0,1,576,577,574,579,791
prefix1,99,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,99,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,99,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,99,5,25,25,25,25,25,25,current,18,0,0,23,24,22,25,19
prefix10,99,10,35,35,35,35,35,35,current,26,0,0,33,34,31,35,34
full,100,4,24,24,24,24,24,24,current,17,0,0,22,23,21,24,17
prefix1,100,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,100,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,100,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
full,101,170,364,364,364,364,364,364,current,293,0,0,361,363,360,364,516
prefix1,101,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,101,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,11
prefix3,101,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,101,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,20
prefix10,101,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,35
full,102,37,107,107,107,107,107,107,current,84,0,0,104,106,103,107,115
prefix1,102,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,102,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,102,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,102,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,102,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,34
full,103,18,66,66,66,66,66,66,current,51,0,0,64,65,62,66,59
prefix1,103,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,103,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,103,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,103,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,103,10,42,42,42,42,42,42,current,31,0,0,39,40,38,42,35
full,104,20,62,62,62,62,62,62,current,48,0,0,60,61,59,62,64
prefix1,104,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,104,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,104,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,104,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,104,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,34
full,105,31,73,73,73,73,73,73,current,57,0,0,71,72,70,73,97
prefix1,105,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,105,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,105,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,105,5,25,25,25,25,25,25,current,18,0,0,23,24,21,25,19
prefix10,105,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,106,37,83,83,83,83,83,83,current,65,0,0,81,82,80,83,115
prefix1,106,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,106,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,106,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,106,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,106,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,107,141,360,360,360,360,360,360,current,290,0,0,358,359,356,360,428
prefix1,107,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,107,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,107,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,107,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,107,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,34
full,108,8,40,40,40,40,40,40,current,30,0,0,38,39,37,40,32
prefix1,108,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,108,2,22,22,22,22,22,22,current,15,0,0,19,21,18,22,11
prefix3,108,3,24,24,24,24,24,24,current,17,0,0,22,23,21,24,14
prefix5,108,5,30,30,30,30,30,30,current,22,0,0,28,29,27,30,20
full,109,26,69,69,69,69,69,69,current,53,0,0,66,67,65,69,82
prefix1,109,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,109,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,109,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,109,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,109,10,34,34,34,34,34,34,current,25,0,0,32,33,31,34,34
full,110,21,70,70,70,70,70,70,current,54,0,0,67,69,66,70,70
prefix1,110,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,110,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,110,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,110,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,110,10,43,43,43,43,43,43,current,32,0,0,40,41,39,43,37
full,111,13,55,55,55,55,55,55,current,42,0,0,53,54,51,55,48
prefix1,111,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,111,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,111,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,111,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,19
prefix10,111,10,46,46,46,46,46,46,current,34,0,1,44,44,41,46,37
full,112,16,66,66,66,66,66,66,current,51,0,0,64,65,62,66,55
prefix1,112,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,112,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,112,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,112,5,29,29,29,29,29,29,current,21,0,0,27,28,26,29,20
prefix10,112,10,45,45,45,45,45,45,current,34,0,0,43,44,41,45,36
full,113,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix1,113,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,113,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,113,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
full,114,30,76,76,76,76,76,76,current,59,0,0,74,75,72,76,94
prefix1,114,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,114,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,114,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,114,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,114,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,115,24,82,82,82,82,82,82,current,64,0,0,80,80,78,82,78
prefix1,115,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,115,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,115,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,115,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,115,10,43,43,43,43,43,43,current,32,0,0,40,42,39,43,36
full,116,18,54,54,54,54,54,54,current,41,0,0,51,52,50,54,58
prefix1,116,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,116,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,116,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,116,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,116,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,117,27,85,85,85,85,85,85,current,66,0,0,82,83,81,85,85
prefix1,117,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,117,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,117,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,117,5,28,28,28,28,28,28,current,20,0,0,26,28,25,28,19
prefix10,117,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,118,24,71,71,71,71,71,71,current,55,0,0,69,69,67,71,77
prefix1,118,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,118,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,11
prefix3,118,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,118,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,118,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,35
full,119,9,37,37,37,37,37,37,current,27,0,0,34,35,33,37,31
prefix1,119,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,119,2,18,18,18,18,18,18,current,12,0,0,16,17,15,18,10
prefix3,119,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,119,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
full,120,32,92,92,92,92,92,92,current,72,0,0,89,91,88,92,100
prefix1,120,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,120,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,120,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,120,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,120,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,34
full,121,102,380,380,380,380,380,380,current,306,0,0,377,380,377,380,424
prefix1,121,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,121,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,12
prefix3,121,3,24,24,24,24,24,24,current,17,0,0,22,23,21,24,16
prefix5,121,5,32,32,32,32,32,32,current,23,0,0,29,30,28,32,24
prefix10,121,10,49,49,49,49,49,49,current,37,0,0,46,48,45,49,43
full,122,8,38,38,38,38,38,38,current,28,0,0,35,37,34,38,29
prefix1,122,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,122,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,122,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,122,5,29,29,29,29,29,29,current,21,0,0,27,28,26,29,19
full,123,26,80,80,80,80,80,80,current,62,0,0,77,79,76,80,82
