set,index,points,current,tiny11_DIRECT_NEW_WIRE,currentPlusTiny11_NEW_WIRE
prefix3,177,3,27,26,26
prefix5,177,5,35,34,34
prefix10,177,10,54,53,53
full_tiny,178,7,42,40,40
prefix1,178,1,16,15,15
prefix2,178,2,22,21,21
prefix3,178,3,26,24,24
prefix5,178,5,34,33,33
full_tiny,179,11,42,40,40
prefix1,179,1,14,13,13
prefix2,179,2,19,18,18
prefix3,179,3,21,19,19
prefix5,179,5,23,22,22
prefix10,179,10,34,33,33
prefix1,180,1,15,13,13
prefix2,180,2,19,18,18
prefix3,180,3,24,23,23
prefix5,180,5,33,32,32
prefix10,180,10,50,49,49
prefix1,181,1,14,13,13
prefix2,181,2,20,19,19
prefix3,181,3,24,23,23
prefix5,181,5,31,30,30
prefix10,181,10,50,49,49
prefix1,182,1,15,13,13
prefix2,182,2,21,19,19
prefix3,182,3,24,23,23
prefix5,182,5,33,32,32
prefix10,182,10,50,49,49
prefix1,183,1,14,13,13
prefix2,183,2,19,18,18
prefix3,183,3,21,19,19
prefix5,183,5,27,26,26
prefix10,183,10,39,38,38
prefix1,184,1,15,13,13
prefix2,184,2,18,17,17
prefix3,184,3,21,19,19
prefix5,184,5,24,23,23
prefix10,184,10,35,34,34
prefix1,185,1,14,13,13
prefix2,185,2,19,18,18
prefix3,185,3,21,19,19
prefix5,185,5,24,23,23
prefix10,185,10,33,32,32
prefix1,186,1,16,14,14
prefix2,186,2,21,19,19
prefix3,186,3,24,23,23
prefix5,186,5,29,28,28
prefix10,186,10,40,39,39
prefix1,187,1,14,13,13
prefix2,187,2,19,18,18
prefix3,187,3,21,19,19
prefix5,187,5,26,24,24
prefix10,187,10,34,33,33
prefix1,188,1,14,13,13
prefix2,188,2,19,18,18
prefix3,188,3,22,21,21
prefix5,188,5,27,26,26
prefix10,188,10,40,39,39
prefix1,189,1,14,13,13
prefix2,189,2,19,18,18
prefix3,189,3,22,20,20
prefix5,189,5,25,24,24
prefix10,189,10,34,33,33
prefix1,190,1,16,14,14
prefix2,190,2,21,19,19
prefix3,190,3,23,22,22
prefix5,190,5,27,26,26
prefix10,190,10,38,37,37
prefix1,191,1,15,13,13
prefix2,191,2,19,18,18
prefix3,191,3,21,19,19
prefix5,191,5,26,24,24
prefix10,191,10,34,33,33
prefix1,192,1,15,13,13
prefix2,192,2,19,18,18
prefix3,192,3,21,19,19
prefix5,192,5,24,23,23
prefix10,192,10,33,32,32
prefix1,193,1,16,14,14
prefix2,193,2,21,19,19
prefix3,193,3,22,21,21
prefix5,193,5,27,26,26
prefix10,193,10,38,37,37
prefix1,194,1,15,13,13
prefix2,194,2,19,18,18
prefix3,194,3,21,19,19
prefix5,194,5,24,23,23
prefix10,194,10,32,30,30
prefix1,195,1,14,13,13
prefix2,195,2,19,18,18
prefix3,195,3,21,19,19
prefix5,195,5,24,23,23
prefix10,195,10,33,32,32
prefix1,196,1,15,13,13
prefix2,196,2,19,18,18
prefix3,196,3,21,19,19
prefix5,196,5,26,24,24
prefix10,196,10,34,33,33
prefix1,197,1,14,13,13
prefix2,197,2,19,18,18
prefix3,197,3,21,19,19
prefix5,197,5,26,24,24
prefix10,197,10,34,33,33
prefix1,198,1,14,13,13
prefix2,198,2,19,18,18
prefix3,198,3,21,19,19
prefix5,198,5,26,24,24
prefix10,198,10,35,34,34
prefix1,199,1,14,13,13
prefix2,199,2,19,18,18
prefix3,199,3,21,19,19
prefix5,199,5,23,22,22
prefix10,199,10,33,32,32
prefix1,200,1,14,13,13
prefix2,200,2,19,18,18
prefix3,200,3,21,19,19
prefix5,200,5,24,23,23
prefix10,200,10,33,32,32
prefix1,201,1,14,13,13
prefix2,201,2,19,18,18
prefix3,201,3,21,19,19
prefix5,201,5,24,23,23
prefix10,201,10,34,33,33
prefix1,202,1,14,13,13
prefix2,202,2,19,18,18
prefix3,202,3,21,19,19
prefix5,202,5,24,23,23
prefix10,202,10,34,33,33
prefix1,203,1,16,14,14
prefix2,203,2,19,18,18
prefix3,203,3,22,21,21
prefix5,203,5,27,25,25
prefix10,203,10,37,35,35
prefix1,204,1,14,13,13
prefix2,204,2,19,18,18
prefix3,204,3,21,19,19
prefix5,204,5,24,23,23
prefix10,204,10,35,34,34
prefix1,205,1,15,13,13
prefix2,205,2,19,18,18
prefix3,205,3,22,21,21
prefix5,205,5,26,24,24
prefix10,205,10,35,34,34
prefix1,206,1,14,13,13
prefix2,206,2,19,18,18
prefix3,206,3,21,19,19
prefix5,206,5,24,23,23
prefix10,206,10,33,32,32
prefix1,207,1,14,13,13
prefix2,207,2,18,17,17
prefix3,207,3,22,21,21
prefix5,207,5,26,24,24
prefix10,207,10,37,35,35
prefix1,208,1,16,14,14
prefix2,208,2,21,19,19
prefix3,208,3,22,20,20
prefix5,208,5,24,23,23
prefix10,208,10,34,33,33
prefix1,209,1,16,14,14
prefix2,209,2,20,19,19
prefix3,209,3,22,21,21
prefix5,209,5,27,26,26
prefix10,209,10,35,34,34
prefix1,210,1,14,13,13
prefix2,210,2,19,18,18
prefix3,210,3,21,19,19
prefix5,210,5,26,24,24
prefix10,210,10,33,32,32
prefix1,211,1,16,14,14
prefix2,211,2,21,19,19
prefix3,211,3,23,22,22
prefix5,211,5,28,27,27
prefix10,211,10,40,39,39
prefix1,212,1,14,13,13
prefix2,212,2,19,18,18
prefix3,212,3,21,19,19
prefix5,212,5,24,23,23
prefix10,212,10,34,33,33
prefix1,213,1,14,13,13
prefix2,213,2,19,18,18
prefix3,213,3,21,19,19
prefix5,213,5,24,23,23
prefix10,213,10,33,32,32
prefix1,214,1,14,13,13
prefix2,214,2,18,17,17
prefix3,214,3,21,19,19
prefix5,214,5,24,23,23
prefix10,214,10,37,35,35
prefix1,215,1,15,13,13
prefix2,215,2,18,17,17
prefix3,215,3,22,20,20
prefix5,215,5,26,24,24
prefix10,215,10,37,35,35
prefix1,216,1,14,13,13
prefix2,216,2,19,18,18
prefix3,216,3,23,22,22
prefix5,216,5,29,28,28
prefix10,216,10,45,44,44
prefix1,217,1,14,13,13
prefix2,217,2,19,18,18
prefix3,217,3,21,19,19
prefix5,217,5,24,23,23
prefix10,217,10,37,35,35
prefix1,218,1,14,13,13
prefix2,218,2,18,17,17
prefix3,218,3,21,19,19
prefix5,218,5,24,23,23
prefix10,218,10,33,32,32
prefix1,219,1,16,14,14
prefix2,219,2,21,19,19
prefix3,219,3,22,20,20
prefix5,219,5,28,26,26
prefix10,219,10,39,38,38
prefix1,220,1,16,14,14
prefix2,220,2,22,20,20
prefix3,220,3,24,23,23
prefix5,220,5,30,29,29
prefix10,220,10,48,46,46
prefix1,221,1,16,14,14
prefix2,221,2,20,19,19
prefix3,221,3,23,22,22
prefix5,221,5,27,26,26
prefix10,221,10,39,38,38
prefix1,222,1,16,15,15
prefix2,222,2,21,19,19
prefix3,222,3,23,22,22
prefix5,222,5,28,27,27
prefix10,222,10,41,40,40
prefix1,223,1,14,13,13
prefix2,223,2,19,18,18
prefix3,223,3,22,21,21
prefix5,223,5,26,24,24
prefix10,223,10,39,38,38
prefix1,224,1,14,13,13
prefix2,224,2,19,18,18
prefix3,224,3,22,21,21
prefix5,224,5,26,24,24
prefix10,224,10,40,39,39
prefix1,225,1,15,13,13
prefix2,225,2,19,18,18
prefix3,225,3,21,19,19
prefix5,225,5,26,24,24
prefix10,225,10,34,33,33
prefix1,226,1,16,14,14
prefix2,226,2,19,18,18
prefix3,226,3,23,21,21
prefix5,226,5,27,25,25
prefix10,226,10,38,36,36
prefix1,227,1,14,13,13
prefix2,227,2,19,18,18
prefix3,227,3,22,20,20
prefix5,227,5,26,25,25
prefix10,227,10,38,36,36
prefix1,228,1,16,14,14
prefix2,228,2,21,19,19
prefix3,228,3,22,21,21
prefix5,228,5,27,26,26
prefix10,228,10,37,35,35
prefix1,229,1,16,14,14
prefix2,229,2,21,19,19
prefix3,229,3,22,20,20
prefix5,229,5,27,25,25
prefix10,229,10,39,38,38
prefix1,230,1,16,14,14
prefix2,230,2,21,19,19
prefix3,230,3,22,21,21
prefix5,230,5,27,26,26
prefix10,230,10,36,35,35
prefix1,231,1,16,14,14
prefix2,231,2,21,19,19
prefix3,231,3,22,21,21
prefix5,231,5,26,24,24
prefix10,231,10,36,35,35
prefix1,232,1,16,14,14
prefix2,232,2,21,19,19
prefix3,232,3,23,21,21
prefix5,232,5,28,26,26
prefix10,232,10,40,39,39
prefix1,233,1,16,14,14
prefix2,233,2,21,19,19
prefix3,233,3,23,22,22
prefix5,233,5,28,27,27
prefix10,233,10,40,39,39
prefix1,234,1,14,13,13
prefix2,234,2,19,18,18
prefix3,234,3,22,21,21
prefix5,234,5,27,26,26
prefix10,234,10,38,37,37
prefix1,235,1,16,14,14
prefix2,235,2,21,19,19
prefix3,235,3,22,21,21
prefix5,235,5,27,26,26
prefix10,235,10,37,35,35
prefix1,236,1,14,13,13
prefix2,236,2,21,19,19
prefix3,236,3,25,24,24
prefix5,236,5,32,30,30
prefix10,236,10,49,48,48
full_tiny,237,13,46,45,45
prefix1,237,1,16,14,14
prefix2,237,2,21,19,19
prefix3,237,3,23,22,22
prefix5,237,5,28,27,27
prefix10,237,10,40,39,39
full_tiny,238,11,49,48,48
prefix1,238,1,16,14,14
prefix2,238,2,21,19,19
prefix3,238,3,23,22,22
prefix5,238,5,30,29,29
prefix10,238,10,46,45,45
prefix1,239,1,16,14,14
prefix2,239,2,20,19,19
prefix3,239,3,22,20,20
prefix5,239,5,27,25,25
prefix10,239,10,36,35,35
prefix1,240,1,14,13,13
prefix2,240,2,19,18,18
prefix3,240,3,22,20,20
prefix5,240,5,27,25,25
prefix10,240,10,39,38,38
prefix1,241,1,16,14,14
prefix2,241,2,21,19,19
prefix3,241,3,23,22,22
prefix5,241,5,27,25,25
prefix10,241,10,39,37,37
prefix1,242,1,15,13,13
prefix2,242,2,18,17,17
prefix3,242,3,21,19,19
prefix5,242,5,26,24,24
prefix10,242,10,35,34,34
prefix1,243,1,14,13,13
prefix2,243,2,19,18,18
prefix3,243,3,22,20,20
prefix5,243,5,25,24,24
prefix10,243,10,39,38,38
prefix1,244,1,14,13,13
prefix2,244,2,19,18,18
prefix3,244,3,22,21,21
prefix5,244,5,26,24,24
prefix10,244,10,38,36,36
full_tiny,245,6,34,33,33
prefix1,245,1,16,14,14
prefix2,245,2,21,19,19
prefix3,245,3,24,23,23
prefix5,245,5,32,30,30
full_tiny,246,14,63,61,61
prefix1,246,1,15,13,13
prefix2,246,2,20,19,19
prefix3,246,3,26,24,24
prefix5,246,5,33,32,32
prefix10,246,10,49,48,48
prefix1,247,1,16,15,15
prefix2,247,2,21,19,19
prefix3,247,3,23,22,22
prefix5,247,5,28,27,27
prefix10,247,10,41,40,40
prefix1,248,1,16,14,14
prefix2,248,2,20,19,19
prefix3,248,3,22,21,21
prefix5,248,5,27,26,26
prefix10,248,10,35,34,34
prefix1,249,1,14,13,13
prefix2,249,2,19,18,18
prefix3,249,3,22,21,21
prefix5,249,5,27,25,25
prefix10,249,10,38,37,37
prefix1,250,1,16,14,14
prefix2,250,2,21,19,19
prefix3,250,3,22,21,21
prefix5,250,5,27,26,26
prefix10,250,10,39,38,38
full_tiny,251,11,48,46,46
prefix1,251,1,16,14,14
prefix2,251,2,22,21,21
prefix3,251,3,24,23,23
prefix5,251,5,31,29,29
prefix10,251,10,45,44,44
prefix1,252,1,16,14,14
prefix2,252,2,21,19,19
prefix3,252,3,22,21,21
prefix5,252,5,28,27,27
prefix10,252,10,40,39,39
prefix1,253,1,16,15,15
prefix2,253,2,20,19,19
prefix3,253,3,22,21,21
prefix5,253,5,27,26,26
prefix10,253,10,40,39,39
prefix1,254,1,16,14,14
prefix2,254,2,21,19,19
prefix3,254,3,23,22,22
prefix5,254,5,28,27,27
prefix10,254,10,40,39,39
prefix1,255,1,16,15,15
prefix2,255,2,19,18,18
prefix3,255,3,22,21,21
prefix5,255,5,28,27,27
prefix10,255,10,38,37,37
prefix1,256,1,14,13,13
prefix2,256,2,19,18,18
prefix3,256,3,21,19,19
prefix5,256,5,27,25,25
prefix10,256,10,39,38,38
prefix1,257,1,14,13,13
prefix2,257,2,18,17,17
prefix3,257,3,19,18,18
prefix5,257,5,24,23,23
prefix10,257,10,35,34,34
prefix1,258,1,16,14,14
prefix2,258,2,19,18,18
prefix3,258,3,23,22,22
prefix5,258,5,27,25,25
prefix10,258,10,36,35,35
prefix1,259,1,14,13,13
prefix2,259,2,18,17,17
prefix3,259,3,21,19,19
prefix5,259,5,24,23,23
prefix10,259,10,35,34,34
prefix1,260,1,16,14,14
prefix2,260,2,21,19,19
prefix3,260,3,24,23,23
prefix5,260,5,30,29,29
prefix10,260,10,47,45,45
prefix1,261,1,16,14,14
prefix2,261,2,21,19,19
prefix3,261,3,24,23,23
prefix5,261,5,30,29,29
prefix10,261,10,47,45,45
full_tiny,262,11,54,52,52
prefix1,262,1,14,13,13
prefix2,262,2,21,19,19
prefix3,262,3,23,22,22
prefix5,262,5,32,30,30
prefix10,262,10,50,49,49
prefix1,263,1,16,14,14
prefix2,263,2,21,19,19
prefix3,263,3,23,21,21
prefix5,263,5,29,28,28
prefix10,263,10,45,44,44
prefix1,264,1,16,14,14
prefix2,264,2,21,19,19
prefix3,264,3,23,21,21
prefix5,264,5,29,28,28
prefix10,264,10,45,44,44
prefix1,265,1,16,14,14
prefix2,265,2,21,19,19
prefix3,265,3,23,21,21
prefix5,265,5,29,28,28
prefix10,265,10,45,44,44
prefix1,266,1,15,13,13
prefix2,266,2,21,19,19
prefix3,266,3,23,22,22
prefix5,266,5,29,28,28
prefix10,266,10,45,44,44
prefix1,267,1,14,13,13
prefix2,267,2,18,17,17
prefix3,267,3,21,19,19
prefix5,267,5,26,24,24
prefix10,267,10,37,35,35
full_tiny,268,11,48,46,46
prefix1,268,1,16,14,14
prefix2,268,2,21,19,19
prefix3,268,3,23,22,22
prefix5,268,5,30,29,29
prefix10,268,10,45,44,44
prefix1,269,1,15,13,13
prefix2,269,2,19,18,18
prefix3,269,3,24,23,23
prefix5,269,5,32,30,30
prefix10,269,10,49,48,48
prefix1,270,1,16,14,14
prefix2,270,2,21,19,19
prefix3,270,3,24,23,23
prefix5,270,5,30,29,29
prefix10,270,10,46,45,45
prefix1,271,1,16,14,14
prefix2,271,2,21,19,19
prefix3,271,3,24,23,23
prefix5,271,5,30,29,29
prefix10,271,10,46,45,45
full_tiny,272,3,22,21,21
prefix1,272,1,15,13,13
prefix2,272,2,19,18,18
prefix3,272,3,22,21,21
prefix1,273,1,16,14,14
prefix2,273,2,19,18,18
prefix3,273,3,22,21,21
prefix5,273,5,29,28,28
prefix10,273,10,42,40,40
prefix1,274,1,15,13,13
prefix2,274,2,18,17,17
prefix3,274,3,22,21,21
prefix5,274,5,28,27,27
prefix10,274,10,42,40,40
prefix1,275,1,15,13,13
prefix2,275,2,19,18,18
prefix3,275,3,22,21,21
prefix5,275,5,27,26,26
prefix10,275,10,41,40,40
full_tiny,276,13,49,48,48
prefix1,276,1,15,13,13
prefix2,276,2,19,18,18
prefix3,276,3,22,21,21
prefix5,276,5,27,26,26
prefix10,276,10,40,39,39
prefix1,277,1,14,13,13
prefix2,277,2,19,18,18
prefix3,277,3,22,20,20
prefix5,277,5,27,25,25
prefix10,277,10,39,38,38
full_tiny,278,11,46,45,45
prefix1,278,1,16,14,14
prefix2,278,2,21,19,19
prefix3,278,3,23,22,22
prefix5,278,5,29,28,28
prefix10,278,10,43,41,41
prefix1,279,1,14,13,13
prefix2,279,2,19,18,18
prefix3,279,3,22,20,20
prefix5,279,5,28,27,27
prefix10,279,10,42,40,40
full_tiny,280,11,48,46,46
prefix1,280,1,14,13,13
prefix2,280,2,19,18,18
prefix3,280,3,23,22,22
prefix5,280,5,28,26,26
prefix10,280,10,44,42,42
prefix1,281,1,14,13,13
prefix2,281,2,18,17,17
prefix3,281,3,21,19,19
prefix5,281,5,27,25,25
prefix10,281,10,42,40,40
full_tiny,282,11,48,46,46
prefix1,282,1,14,13,13
prefix2,282,2,19,18,18
prefix3,282,3,23,21,21
prefix5,282,5,28,26,26
prefix10,282,10,45,44,44
full_tiny,283,11,48,46,46
prefix1,283,1,14,13,13
prefix2,283,2,19,18,18
prefix3,283,3,23,22,22
prefix5,283,5,28,27,27
prefix10,283,10,45,44,44
prefix1,284,1,16,14,14
prefix2,284,2,21,19,19
prefix3,284,3,23,22,22
prefix5,284,5,29,28,28
prefix10,284,10,43,42,42
prefix1,285,1,16,14,14
prefix2,285,2,21,19,19
prefix3,285,3,23,22,22
prefix5,285,5,29,28,28
prefix10,285,10,43,42,42
full_tiny,286,7,39,38,38
prefix1,286,1,16,14,14
prefix2,286,2,22,21,21
prefix3,286,3,25,25,25
prefix5,286,5,33,32,32
full_tiny,287,7,38,37,37
prefix1,287,1,15,14,14
prefix2,287,2,20,19,19
prefix3,287,3,24,23,23
prefix5,287,5,31,30,30
full_tiny,288,14,60,59,59
prefix1,288,1,16,14,14
prefix2,288,2,21,19,19
prefix3,288,3,24,23,23
prefix5,288,5,29,28,28
prefix10,288,10,45,44,44
prefix1,289,1,14,13,13
prefix2,289,2,19,18,18
prefix3,289,3,22,20,20
prefix5,289,5,28,26,26
prefix10,289,10,40,39,39
prefix1,290,1,14,13,13
prefix2,290,2,19,18,18
prefix3,290,3,22,20,20
prefix5,290,5,28,26,26
prefix10,290,10,41,40,40
prefix1,291,1,14,13,13
prefix2,291,2,21,19,19
prefix3,291,3,23,22,22
prefix5,291,5,28,27,27
prefix10,291,10,45,44,44
prefix1,292,1,14,13,13
prefix2,292,2,19,18,18
prefix3,292,3,22,20,20
prefix5,292,5,27,25,25
prefix10,292,10,42,40,40
full_tiny,293,13,50,49,49
prefix1,293,1,16,14,14
prefix2,293,2,21,19,19
prefix3,293,3,23,22,22
prefix5,293,5,29,28,28
prefix10,293,10,42,40,40
prefix1,294,1,15,13,13
prefix2,294,2,19,18,18
prefix3,294,3,22,20,20
prefix5,294,5,27,25,25
prefix10,294,10,40,39,39
prefix1,295,1,14,13,13
prefix2,295,2,19,18,18
prefix3,295,3,23,22,22
prefix5,295,5,28,27,27
prefix10,295,10,50,48,48
prefix1,296,1,14,13,13
prefix2,296,2,19,18,18
prefix3,296,3,22,21,21
prefix5,296,5,27,26,26
prefix10,296,10,39,38,38
prefix1,297,1,15,13,13
prefix2,297,2,19,18,18
prefix3,297,3,22,21,21
prefix5,297,5,27,26,26
prefix10,297,10,39,38,38
prefix1,298,1,15,13,13
prefix2,298,2,19,18,18
prefix3,298,3,22,20,20
prefix5,298,5,26,24,24
prefix10,298,10,40,39,39
prefix1,299,1,14,13,13
prefix2,299,2,19,18,18
prefix3,299,3,23,22,22
prefix5,299,5,28,27,27
prefix10,299,10,50,48,48
prefix1,300,1,14,13,13
prefix2,300,2,19,18,18
prefix3,300,3,22,21,21
prefix5,300,5,28,27,27
prefix10,300,10,43,41,41
prefix1,301,1,15,13,13
prefix2,301,2,19,18,18
prefix3,301,3,23,22,22
prefix5,301,5,30,29,29
prefix10,301,10,44,42,42
