set,index,points,current,tiny11_DIRECT_NEW_WIRE,currentPlusTiny11_NEW_WIRE
prefix1,41,1,15,13,13
prefix2,41,2,18,17,17
prefix3,41,3,21,19,19
prefix5,41,5,25,24,24
prefix10,41,10,33,31,31
full_tiny,42,8,28,27,27
prefix1,42,1,14,13,13
prefix2,42,2,19,18,18
prefix3,42,3,19,18,18
prefix5,42,5,23,22,22
full_tiny,43,6,25,24,24
prefix1,43,1,14,13,13
prefix2,43,2,19,18,18
prefix3,43,3,20,19,19
prefix5,43,5,24,23,23
prefix1,44,1,15,13,13
prefix2,44,2,18,17,17
prefix3,44,3,19,18,18
prefix5,44,5,22,21,21
prefix10,44,10,26,24,24
prefix1,45,1,14,13,13
prefix2,45,2,19,18,18
prefix3,45,3,19,18,18
prefix5,45,5,21,19,19
prefix10,45,10,23,22,22
prefix1,46,1,14,13,13
prefix2,46,2,19,18,18
prefix3,46,3,19,18,18
prefix5,46,5,21,19,19
prefix10,46,10,23,22,22
prefix1,47,1,16,14,14
prefix2,47,2,22,20,20
prefix3,47,3,26,24,24
prefix5,47,5,32,30,30
prefix10,47,10,50,49,49
prefix1,48,1,14,13,13
prefix2,48,2,19,18,18
prefix3,48,3,22,21,21
prefix5,48,5,29,28,28
prefix10,48,10,47,45,45
full_tiny,49,16,57,56,56
prefix1,49,1,16,14,14
prefix2,49,2,19,18,18
prefix3,49,3,22,21,21
prefix5,49,5,27,26,26
prefix10,49,10,42,40,40
prefix1,50,1,16,14,14
prefix2,50,2,21,19,19
prefix3,50,3,22,20,20
prefix5,50,5,28,26,26
prefix10,50,10,40,39,39
full_tiny,51,5,27,25,25
prefix1,51,1,16,14,14
prefix2,51,2,18,17,17
prefix3,51,3,22,20,20
prefix5,51,5,27,25,25
prefix1,52,1,14,13,13
prefix2,52,2,19,18,18
prefix3,52,3,23,22,22
prefix5,52,5,27,26,26
prefix10,52,10,39,38,38
prefix1,53,1,16,15,15
prefix2,53,2,19,18,18
prefix3,53,3,22,21,21
prefix5,53,5,24,23,23
prefix10,53,10,33,32,32
prefix1,54,1,14,14,14
prefix2,54,2,19,18,18
prefix3,54,3,21,19,19
prefix5,54,5,25,24,24
prefix10,54,10,33,32,32
prefix1,55,1,15,13,13
prefix2,55,2,19,18,18
prefix3,55,3,22,20,20
prefix5,55,5,27,25,25
prefix10,55,10,39,38,38
prefix1,56,1,14,13,13
prefix2,56,2,18,17,17
prefix3,56,3,22,20,20
prefix5,56,5,27,25,25
prefix10,56,10,39,38,38
full_tiny,57,4,23,22,22
prefix1,57,1,14,13,13
prefix2,57,2,19,18,18
prefix3,57,3,22,20,20
prefix1,58,1,14,13,13
prefix2,58,2,18,17,17
prefix3,58,3,21,19,19
prefix5,58,5,24,23,23
prefix10,58,10,35,34,34
prefix1,59,1,14,13,13
prefix2,59,2,19,18,18
prefix3,59,3,23,22,22
prefix5,59,5,27,26,26
prefix10,59,10,39,38,38
prefix1,60,1,14,13,13
prefix2,60,2,18,17,17
